delay,time
100000,10.929744005203247
90000,9.466041851043702
80000,8.91806173324585
70000,7.78183536529541
60000,6.300632619857788
50000,5.735366153717041
40000,4.633609390258789
30000,3.1978519439697264
20000,2.572178316116333
10000,1.3329610347747802
9000,1.1561537265777588
8000,1.0406454086303711
7000,0.9350783824920654
6000,0.810347604751587
5000,0.7100508689880372
4000,0.5506561756134033
3000,0.43360514640808107
2000,0.30590267181396485
1000,0.19927554130554198
900,0.16712474822998047
800,0.1778132438659668
700,0.1486809730529785
600,0.13696160316467285
500,0.12503132820129395
400,0.10937314033508301
300,0.11186885833740234
200,0.08363137245178223
100,0.06982355117797852
